,logFC,AveExpr,t,P.Value,adj.P.Val,B
TATDN1,0.0996779,6.112477925,6.07438683,2.68E-09,5.23E-05,10.73668554
ZNF706,0.105586567,6.446975901,5.845307107,9.80E-09,9.58E-05,9.237467098
DCAF13,0.088285451,6.393943025,5.513710472,5.97E-08,0.000291814,7.53154071
TRMT12,0.109386599,6.071099494,5.434470393,9.08E-08,0.000354978,7.377948347
IGF2BP1,0.92565888,4.454203524,5.631783035,3.17E-08,0.000206477,7.273836045
MAP6D1,0.161917808,5.719427535,5.342910577,1.46E-07,0.000461245,7.090578378
ZNF667,0.546993929,5.032861861,5.319668681,1.65E-07,0.000461245,6.577388001
FAM49B,0.088094886,6.396846025,5.226552655,2.66E-07,0.000650679,6.088752802
PVT1,0.197059405,5.848572411,5.010329332,7.86E-07,0.001536252,5.463855042
NSMCE2,0.080443704,6.120633276,5.041063093,6.75E-07,0.001466941,5.434304247
RNF125,0.174743464,5.686055924,4.905914192,1.31E-06,0.00212994,5.059477882
AZIN1,0.076454587,6.570754275,4.961776442,9.97E-07,0.00177155,4.712785372
SLC25A32,0.083625467,6.20548996,4.879934373,1.48E-06,0.002228514,4.5938467
TMEM52,0.352144753,5.22358307,4.798328651,2.19E-06,0.002529481,4.380103924
DERL1,0.060572183,6.469828975,4.863023598,1.61E-06,0.002244496,4.329137241
HRSP12,0.093668179,6.117642062,4.797274965,2.20E-06,0.002529481,4.299687228
C1orf112,0.117653374,6.072030279,4.767967029,2.53E-06,0.002744347,4.199102743
DSCC1,0.135214762,5.943209924,4.719588434,3.17E-06,0.003263707,4.10534665
WDR67,0.095691047,5.963086669,4.685822922,3.71E-06,0.003629636,3.970385884
GABBR2,0.623424296,5.12978664,4.659543858,4.19E-06,0.003860716,3.923205944
CACNG4,0.524382385,5.299717168,4.618839778,5.06E-06,0.004302315,3.801413313
STK32C,0.138263769,6.006101023,4.557962077,6.69E-06,0.005027269,3.330121176
NUDCD1,0.084288604,6.215241436,4.59565799,5.63E-06,0.004585688,3.314069423
ENY2,0.074491681,6.292662041,4.568296968,6.38E-06,0.004988146,3.132589603
FBN2,0.292074864,5.796820253,4.482704652,9.39E-06,0.006557341,3.107079216
KRT20,0.620596279,5.50405596,4.45537477,1.06E-05,0.007154432,3.069104629
FLVCR2,0.147070524,5.843111481,4.442473333,1.12E-05,0.007325185,3.005650848
TAF2,0.091687562,6.251159117,4.495254936,8.88E-06,0.006427661,2.842117349
CCDC19,0.242946719,5.4855758,4.352099673,1.67E-05,0.009922532,2.720332901