"","Scores","ABSScores","ScorePvals","ABSScorePvals"
"Cardiolipin.Metabolism",0.00284665748981278,0.00727950127520858,0.45721,0.9904
"Cardiolipin.Biosynthesis",-0.0101908246640672,0.0131160371356564,0.5994,0.86296
"Cholesterol.Biosynthesis",0.362303236033504,0.480795596181791,0.07912,0.41303
"Citric.Acid.Cycle",0.0188494847616877,0.174293417846103,0.4483,0.99762
"Cyclooxygenase.Arachidonic.Acid.Metabolism",-0.258577688472239,0.258577688472239,0.98295,0.09892
"Prostaglandin.Biosynthesis",-0.177440977329514,0.293170883236799,0.91093,0.19288
"Purine.Biosynthesis",0.401530914487532,0.454762458680203,0.05274,0.31445
"Pyrimidine.Biosynthesis",0.0853105292849626,0.0991473523634003,0.22659,0.84671
"Dopamine.Biosynthesis",-0.182801270764454,0.183304125867574,0.97292,0.10026
"Epinephrine.Biosynthesis",-0.196898156862956,0.270969848056512,0.9631,0.09044
"Norepinephrine.Biosynthesis",-0.146016852719236,0.220088543912792,0.94306,0.10218
"Fatty.Acid.Degradation",-0.288090616672094,0.533777596896882,0.78342,0.99746
"Fatty.Acid.Elongation",0.0774687316895916,0.19465878205757,0.36347,0.99664
"Fatty.Acid.Biosynthesis",-0.000180851278745904,0.131013358854751,0.4692,0.78382
"Folate.One.Carbon.Metabolism",0.210084799063829,0.464175401134307,0.20859,0.74797
"Folate.biosynthesis",-0.108750274275691,0.141866605951224,0.7657,0.79543
"Gluconeogenesis",-0.376974416238881,0.594188520305421,0.82869,0.99926
"Glycolysis",-0.303707190867017,0.63823372397668,0.78348,0.9961
"Glycogen.Biosynthesis",-0.134277277407202,0.226893216071937,0.77708,0.72124
"Glycogen.Degradation",-0.308217134706479,0.399981282269427,0.92418,0.56539
"Heme.Biosynthesis",0.077935614856868,0.0825049768251091,0.20105,0.7557
"Hexosamine.Biosynthesis",0.0652957070700769,0.0682771264734379,0.19055,0.68212
"Homocysteine.Biosynthesis",-0.0658930455134746,0.229442403269072,0.63878,0.71688
"Remethylation",-0.0223566806617241,0.06940262097639,0.55224,0.90691
"Transsulfuration",-0.0270081979826231,0.0467383743228891,0.71008,0.51827
"Ketone.Biosynthesis.and.Metabolism",-0.159622648700982,0.187080825046178,0.87132,0.53179
"Kynurenine.Metabolism",-0.0968765635372466,0.143187383228186,0.76451,0.68709
"Methionine.Cycle",0.674988573750179,1.3382649911277,0.04024,0.13028
"Pentose.Phosphate",-0.303437650043605,0.438840827046404,0.89488,0.70122
"Nicotinamide.Adenine.Metabolism",-0.321842082335435,0.4077523772447,0.9562,0.31619
"ADP.Ribosylation",-0.0294474318865972,0.611040988281298,0.5354,0.28784
"Nicotinamide.Adenine.Dinucleotide.Biosynthesis",0.0263165073947959,0.13693637575916,0.35328,0.51087
"Nicotinate.and.Nicotinamide.Metabolism",-0.228907360187227,0.446638973314353,0.83581,0.65563
"Sirtuin.Nicotinamide.Metabolism",0.00644383331826731,0.00787750781506882,0.43539,0.99591
"Polyamine.Biosynthesis",0.00766667917619683,0.375908073885801,0.44238,0.18827
"Prostanoid.Biosynthesis",-0.318954095119962,0.318954095119962,0.99729,0.02079
"Thromboxane.Biosynthesis",-0.0331561399312715,0.0331561399312715,0.91103,0.15625
"Pyruvate.Metabolism",-0.136763870641783,0.796850467748214,0.66003,0.64959
"Retinoic.Acid.Metabolism",-0.192365900349734,0.668062038237383,0.8607,0.07603
"Retinoid.Metabolism",-0.103277062298814,0.231602672020547,0.74209,0.56854
"Retinol.Metabolism",1.02388581703975,2.40057815663259,0.02472,0.08279
"Steroid.Hormone.Metabolism",0.522386638959074,1.74575477417579,0.09843,0.07397
"Aldosterone.Biosynthesis",-0.00316826689568955,0.0038636400534433,0.49244,0.99981
"Cortisol.Biosynthesis",-0.00316826689568955,0.0038636400534433,0.48166,1
"Estradiol.Biosynthesis",-0.00492655996724755,0.00609997694338981,0.48278,1
"Testosterone.Biosynthesis",-0.220021404743587,0.260811603203051,0.91626,0.43573
"Urea.Cycle",-0.0167977940966159,0.0465259642179479,0.52409,0.99291
"Vitamin.K",0.00419210863049493,0.00602424415737962,0.36525,0.7264
"Pentose.and.Glucuronate.Interconversions",0.990247653825646,1.45421100820818,0.0043,0.01513
"Fructose.and.Mannose.Metabolism",-0.166615838416446,0.311703662418556,0.7402,0.9455
"Galactose.Metabolism",-0.199108027288114,0.217483989840736,0.79063,0.98721
"Ascorbate.and.Aldrate.Metabolism",0.783240305767032,1.33015411950527,0.00819,0.00697
"Starch.and.Suctose.Metabolism",-0.267601545987206,0.413152120998133,0.84357,0.89112
"Amino.Sugar.and.Nucleotide.Sugar.Metabolism",-0.356756518614928,0.522319218236604,0.87486,0.94558
"Glyoxylate.and.Dicarboxylate.Metabolism",-0.0474013169930411,0.294260479409063,0.56497,0.89315
"Propanoate.Metabolism",-0.407194185339036,0.503572629810072,0.94605,0.65222
"Butanoate.Metabolism",-0.23433227870581,0.403921272746914,0.84558,0.70334
"Inositol.Phosphate.Metabolism",0.530190839125664,1.03582085798299,0.11341,0.83842
"Oxidative.Phosphorylation",0.32626115595209,1.12514476925608,0.29319,0.99996
"Nitrogen.Metabolism",-0.452386937647948,0.468225049749749,0.98958,0.20118
"Sulfur.Metabolism",-0.147481158370443,0.170626775421236,0.87913,0.46133
"Steroid.Biosynthesis",0.503329002566214,0.531634682615137,0.02995,0.21618
"Primary.Bile.Acid.Biosynthesis",-0.263910877315693,0.443748012823226,0.93085,0.23243
"Steroid.Hormone.Biosynthesis",0.524946492634965,1.74249954734215,0.09253,0.06033
"Glycerolipid.Metabolism",0.0798100267229022,0.676544237416844,0.40529,0.94943
"Glycerophospholipid.Metabolism",-0.141884691505582,1.14372601724698,0.62704,0.97481
"Ether.Lipid.Metabolism",-0.308369830746744,0.465190031336415,0.84702,0.95376
"Sphingolipid.Metabolism",-0.0932233200807159,0.300350532116531,0.60986,0.99889
"Arachidonic.Acid.Metabolism",-1.00808590440928,1.27169749257568,0.99681,0.40959
"Linoleic.Acid.Metabolism",-0.165170784490855,0.31233377290715,0.75679,0.88467
"alpha.Linoleic.Acid.Metabolism",-0.24208360435489,0.244293649148379,0.86914,0.90437
"Biosynthesis.of.Unsaturated.Fatty.Acids",0.0566035714601207,0.167289237048041,0.36191,0.96464
"Purine.Metabolism",0.316316975918042,2.69763241193538,0.32789,0.91121
"Pyrimidine.Metabolism",1.02679629356421,1.47279594869192,0.03348,0.92043
"Alanine..Aspartate.and.Glutamate.Metabolism",0.157671701382911,0.287920757082489,0.26982,0.97797
"Glycine..Serine.and.Threonine.Metabolism",-0.378566291358062,0.680088507751662,0.90858,0.60123
"Cysteine.and.Methionine.Metabolism",0.513620311316833,1.16585568850506,0.07263,0.17649
"Valine..Leucine.and.Isoleucine.Degradation",-0.408788550686965,0.776737543481729,0.90563,0.67443
"Valine..Leucine.and.Isoleucine.Biosynthesis",0.00448827347560011,0.0213830382461771,0.4324,0.76158
"Lysine.Degradation",-0.0777341399584586,0.785297432266218,0.57994,0.87891
"Arginine.Biosynthesis",0.00359805069887601,0.0499610213648323,0.46161,0.99991
"Arginine.and.Proline.Metabolism",-0.795231989217547,1.1026676188997,0.99354,0.30197
"Histidine.Metabolism",-0.326394058137438,0.326927295448323,0.93578,0.71926
"Tyrosine.Metabolism",-0.121306194235161,0.613125149269014,0.67183,0.55972
"Phenylalanine.Metabolism",-0.145810161515802,0.217749470206957,0.80412,0.70298
"Tryptophan.Metabolism",-0.509046822892807,0.641306972668003,0.96348,0.66414
"Phenylalanine..Tyrosine.and.Tryptophan.Biosynthesis",-0.00639303944719553,0.0216338305160116,0.53895,0.85706
"Beta.Alanine.Metabolism",-0.32157321284902,0.519552915572539,0.90415,0.5883
"Taurine.and.Hypotaurine.Metabolism",-0.038110761341703,0.15386869086257,0.61692,0.58521
"Selenocompound.Metabolism",-0.0432482692112176,0.446589418402654,0.58535,0.2269
"D.Glutamine.and.D.Glutamate.Metabolism",-0.000259417417140056,0.000790863237359447,0.50747,0.99002
"Glutathione.Metabolism",-0.383751490104567,1.54250474195474,0.87754,0.09317
"N.Glycan.Biosynthesis",-0.0340705534751301,0.275096713536549,0.53399,0.99977
"Mucin.Type.O.Glycan.Biosynthesis",-0.22005718906955,0.369161919165049,0.81697,0.84923
"Other.Types.of.O.Glycan.Biosynthesis",-0.337757503106028,0.458975031322092,0.91572,0.69595
"Glycosaminoglycan.Biosynthesis",-0.302069861148116,0.525627719121634,0.81735,0.98052
"Glycosaminoglycan.Degradation",-0.380635473677953,0.401137283656985,0.97358,0.36471
"Glycosphosphatidylinositol",0.0683330899945018,0.140303851210386,0.34738,0.99191
"Glycosphingolipid.Biosynthesis",-0.485788439667238,0.646354397670848,0.94615,0.80406
"Other.Glycan.Degradation",-0.164744333978875,0.26289829911932,0.82543,0.62817
"Thiamine.Metabolism",0.0440917081383425,0.0815466867652137,0.17217,0.31887
"Riboflavin.Metabolism",0.0181118524580675,0.0205741001998528,0.30041,0.77427
"Vitamin.B6.Metabolism",-0.0356773935120951,0.183374589551525,0.68685,0.18868
"Pantothenate.and.CoA.Biosynthesis",-0.0245832307555123,0.0462720285746418,0.5357,0.99944
"Biotin.Metabolism",0.0153604528826268,0.0153686332340817,0.28228,0.7117
"Lipoic.Acid.Metabolism",-0.00428442136513886,0.00430040583476248,0.57708,0.91522
"Porphyrin.and.Chlorophyll.Metabolism",1.19545912131571,1.35391031814459,0.00194,0.05823
"Ubiquinone.and.other.Terpenoid.Quinone.Biosynthesis",0.0424526772418072,0.0458133144842558,0.31882,0.9686
"Terpenoid.Backbone.Biosynthesis",-0.191896348305914,0.221565554107616,0.83192,0.87173
"Caffiene.Metabolism",0.000947725236666166,0.00610833757696724,0.47334,0.98165
"Neomycin..Kanamysin.and.Gentamicin.Biosynthesis",-0.0352456202455087,0.0495245453310076,0.71232,0.61309
"Metabolism.of.Xenobiotics.by.Cytochrome.P450",0.162695505360087,2.15114678116316,0.3438,0.05137
"Drug.Metabolism.by.Cytochrome.P450",0.0572674661512122,2.19301877732752,0.43895,0.0288
"Drug.Metabolism.by.other.enzymes",1.1347403636527,1.57287959387771,0.00309,0.03283
